frame,class_str,score,link
150,Person,0.8658815026283264,https://storage.googleapis.com/object_images/footage_3/00000150_Person_0.8658815026283264.jpg
151,Shorts,0.8756152391433716,https://storage.googleapis.com/object_images/footage_3/00000151_Shorts_0.8756152391433716.jpg
151,Person,0.7921114563941956,https://storage.googleapis.com/object_images/footage_3/00000151_Person_0.7921114563941956.jpg
152,Shorts,0.8913987874984741,https://storage.googleapis.com/object_images/footage_3/00000152_Shorts_0.8913987874984741.jpg
152,Person,0.7945331335067749,https://storage.googleapis.com/object_images/footage_3/00000152_Person_0.7945331335067749.jpg
153,Swimwear,0.8567056655883789,https://storage.googleapis.com/object_images/footage_3/00000153_Swimwear_0.8567056655883789.jpg
153,Person,0.7776286005973816,https://storage.googleapis.com/object_images/footage_3/00000153_Person_0.7776286005973816.jpg
154,Shorts,0.8208269476890564,https://storage.googleapis.com/object_images/footage_3/00000154_Shorts_0.8208269476890564.jpg
154,Person,0.8151052594184875,https://storage.googleapis.com/object_images/footage_3/00000154_Person_0.8151052594184875.jpg
155,Swimwear,0.8349000215530396,https://storage.googleapis.com/object_images/footage_3/00000155_Swimwear_0.8349000215530396.jpg
155,Person,0.8169000744819641,https://storage.googleapis.com/object_images/footage_3/00000155_Person_0.8169000744819641.jpg
156,Person,0.8059312105178833,https://storage.googleapis.com/object_images/footage_3/00000156_Person_0.8059312105178833.jpg
156,Swimwear,0.7650517225265503,https://storage.googleapis.com/object_images/footage_3/00000156_Swimwear_0.7650517225265503.jpg
157,Person,0.8647062182426453,https://storage.googleapis.com/object_images/footage_3/00000157_Person_0.8647062182426453.jpg
157,Swimwear,0.7667308449745178,https://storage.googleapis.com/object_images/footage_3/00000157_Swimwear_0.7667308449745178.jpg
158,Person,0.8839585781097412,https://storage.googleapis.com/object_images/footage_3/00000158_Person_0.8839585781097412.jpg
158,Shorts,0.64739990234375,https://storage.googleapis.com/object_images/footage_3/00000158_Shorts_0.64739990234375.jpg
159,Person,0.898804247379303,https://storage.googleapis.com/object_images/footage_3/00000159_Person_0.898804247379303.jpg
159,Swimwear,0.7207006216049194,https://storage.googleapis.com/object_images/footage_3/00000159_Swimwear_0.7207006216049194.jpg
160,Person,0.9069547653198242,https://storage.googleapis.com/object_images/footage_3/00000160_Person_0.9069547653198242.jpg
160,Swimwear,0.6960914731025696,https://storage.googleapis.com/object_images/footage_3/00000160_Swimwear_0.6960914731025696.jpg
160,Shorts,0.6891753077507019,https://storage.googleapis.com/object_images/footage_3/00000160_Shorts_0.6891753077507019.jpg
161,Person,0.9003968834877014,https://storage.googleapis.com/object_images/footage_3/00000161_Person_0.9003968834877014.jpg
161,Shorts,0.6231271028518677,https://storage.googleapis.com/object_images/footage_3/00000161_Shorts_0.6231271028518677.jpg
162,Person,0.896723210811615,https://storage.googleapis.com/object_images/footage_3/00000162_Person_0.896723210811615.jpg
162,Swimwear,0.5902947187423706,https://storage.googleapis.com/object_images/footage_3/00000162_Swimwear_0.5902947187423706.jpg
163,Person,0.897619366645813,https://storage.googleapis.com/object_images/footage_3/00000163_Person_0.897619366645813.jpg
163,Shorts,0.7169771790504456,https://storage.googleapis.com/object_images/footage_3/00000163_Shorts_0.7169771790504456.jpg
164,Person,0.8543016314506531,https://storage.googleapis.com/object_images/footage_3/00000164_Person_0.8543016314506531.jpg
164,Shorts,0.6290774345397949,https://storage.googleapis.com/object_images/footage_3/00000164_Shorts_0.6290774345397949.jpg
164,Surfboard,0.5954376459121704,https://storage.googleapis.com/object_images/footage_3/00000164_Surfboard_0.5954376459121704.jpg
164,Swimwear,0.5657714009284973,https://storage.googleapis.com/object_images/footage_3/00000164_Swimwear_0.5657714009284973.jpg
165,Person,0.8740206956863403,https://storage.googleapis.com/object_images/footage_3/00000165_Person_0.8740206956863403.jpg
165,Shorts,0.685993492603302,https://storage.googleapis.com/object_images/footage_3/00000165_Shorts_0.685993492603302.jpg
165,Swimwear,0.6034459471702576,https://storage.googleapis.com/object_images/footage_3/00000165_Swimwear_0.6034459471702576.jpg
166,Person,0.887333333492279,https://storage.googleapis.com/object_images/footage_3/00000166_Person_0.887333333492279.jpg
166,Swimwear,0.5868804454803467,https://storage.googleapis.com/object_images/footage_3/00000166_Swimwear_0.5868804454803467.jpg
167,Person,0.8623757362365723,https://storage.googleapis.com/object_images/footage_3/00000167_Person_0.8623757362365723.jpg
168,Person,0.8958413004875183,https://storage.googleapis.com/object_images/footage_3/00000168_Person_0.8958413004875183.jpg
169,Person,0.8810012936592102,https://storage.googleapis.com/object_images/footage_3/00000169_Person_0.8810012936592102.jpg
170,Person,0.8804227709770203,https://storage.googleapis.com/object_images/footage_3/00000170_Person_0.8804227709770203.jpg
171,Person,0.8642207384109497,https://storage.googleapis.com/object_images/footage_3/00000171_Person_0.8642207384109497.jpg
171,Shorts,0.5215888023376465,https://storage.googleapis.com/object_images/footage_3/00000171_Shorts_0.5215888023376465.jpg
172,Person,0.8565693497657776,https://storage.googleapis.com/object_images/footage_3/00000172_Person_0.8565693497657776.jpg
172,Shorts,0.5071519017219543,https://storage.googleapis.com/object_images/footage_3/00000172_Shorts_0.5071519017219543.jpg
173,Person,0.8516463041305542,https://storage.googleapis.com/object_images/footage_3/00000173_Person_0.8516463041305542.jpg
174,Person,0.8712075352668762,https://storage.googleapis.com/object_images/footage_3/00000174_Person_0.8712075352668762.jpg
174,Animal,0.5622868537902832,https://storage.googleapis.com/object_images/footage_3/00000174_Animal_0.5622868537902832.jpg
175,Person,0.8746687769889832,https://storage.googleapis.com/object_images/footage_3/00000175_Person_0.8746687769889832.jpg
175,Animal,0.6005380749702454,https://storage.googleapis.com/object_images/footage_3/00000175_Animal_0.6005380749702454.jpg
176,Person,0.8853991627693176,https://storage.googleapis.com/object_images/footage_3/00000176_Person_0.8853991627693176.jpg
176,Animal,0.5816509127616882,https://storage.googleapis.com/object_images/footage_3/00000176_Animal_0.5816509127616882.jpg
177,Person,0.8903971314430237,https://storage.googleapis.com/object_images/footage_3/00000177_Person_0.8903971314430237.jpg
177,Animal,0.582435667514801,https://storage.googleapis.com/object_images/footage_3/00000177_Animal_0.582435667514801.jpg
178,Person,0.892529308795929,https://storage.googleapis.com/object_images/footage_3/00000178_Person_0.892529308795929.jpg
179,Person,0.8931984305381775,https://storage.googleapis.com/object_images/footage_3/00000179_Person_0.8931984305381775.jpg
180,Person,0.8823244571685791,https://storage.googleapis.com/object_images/footage_3/00000180_Person_0.8823244571685791.jpg
181,Person,0.8926006555557251,https://storage.googleapis.com/object_images/footage_3/00000181_Person_0.8926006555557251.jpg
182,Person,0.872571587562561,https://storage.googleapis.com/object_images/footage_3/00000182_Person_0.872571587562561.jpg
183,Person,0.871691107749939,https://storage.googleapis.com/object_images/footage_3/00000183_Person_0.871691107749939.jpg
184,Person,0.855660080909729,https://storage.googleapis.com/object_images/footage_3/00000184_Person_0.855660080909729.jpg
185,Person,0.8592783808708191,https://storage.googleapis.com/object_images/footage_3/00000185_Person_0.8592783808708191.jpg
186,Person,0.8813647031784058,https://storage.googleapis.com/object_images/footage_3/00000186_Person_0.8813647031784058.jpg
187,Person,0.8684751987457275,https://storage.googleapis.com/object_images/footage_3/00000187_Person_0.8684751987457275.jpg
188,Person,0.8827096223831177,https://storage.googleapis.com/object_images/footage_3/00000188_Person_0.8827096223831177.jpg
189,Person,0.8689873218536377,https://storage.googleapis.com/object_images/footage_3/00000189_Person_0.8689873218536377.jpg
190,Person,0.875539243221283,https://storage.googleapis.com/object_images/footage_3/00000190_Person_0.875539243221283.jpg
191,Person,0.8759591579437256,https://storage.googleapis.com/object_images/footage_3/00000191_Person_0.8759591579437256.jpg
192,Person,0.8833935260772705,https://storage.googleapis.com/object_images/footage_3/00000192_Person_0.8833935260772705.jpg
193,Person,0.8867804408073425,https://storage.googleapis.com/object_images/footage_3/00000193_Person_0.8867804408073425.jpg
194,Person,0.8605161309242249,https://storage.googleapis.com/object_images/footage_3/00000194_Person_0.8605161309242249.jpg
194,Animal,0.5746840834617615,https://storage.googleapis.com/object_images/footage_3/00000194_Animal_0.5746840834617615.jpg
194,Top,0.5290579795837402,https://storage.googleapis.com/object_images/footage_3/00000194_Top_0.5290579795837402.jpg
195,Person,0.8947864770889282,https://storage.googleapis.com/object_images/footage_3/00000195_Person_0.8947864770889282.jpg
195,Top,0.5737993717193604,https://storage.googleapis.com/object_images/footage_3/00000195_Top_0.5737993717193604.jpg
196,Person,0.8843650817871094,https://storage.googleapis.com/object_images/footage_3/00000196_Person_0.8843650817871094.jpg
197,Person,0.8403688669204712,https://storage.googleapis.com/object_images/footage_3/00000197_Person_0.8403688669204712.jpg
197,Animal,0.589657187461853,https://storage.googleapis.com/object_images/footage_3/00000197_Animal_0.589657187461853.jpg
198,Person,0.8554710745811462,https://storage.googleapis.com/object_images/footage_3/00000198_Person_0.8554710745811462.jpg
198,Animal,0.5756920576095581,https://storage.googleapis.com/object_images/footage_3/00000198_Animal_0.5756920576095581.jpg
199,Person,0.8511629700660706,https://storage.googleapis.com/object_images/footage_3/00000199_Person_0.8511629700660706.jpg
200,Person,0.8439322113990784,https://storage.googleapis.com/object_images/footage_3/00000200_Person_0.8439322113990784.jpg
201,Person,0.8087924718856812,https://storage.googleapis.com/object_images/footage_3/00000201_Person_0.8087924718856812.jpg
202,Person,0.8209188580513,https://storage.googleapis.com/object_images/footage_3/00000202_Person_0.8209188580513.jpg
203,Person,0.7599417567253113,https://storage.googleapis.com/object_images/footage_3/00000203_Person_0.7599417567253113.jpg
204,Person,0.7605428695678711,https://storage.googleapis.com/object_images/footage_3/00000204_Person_0.7605428695678711.jpg
204,Animal,0.5995520353317261,https://storage.googleapis.com/object_images/footage_3/00000204_Animal_0.5995520353317261.jpg
205,Person,0.6443096399307251,https://storage.googleapis.com/object_images/footage_3/00000205_Person_0.6443096399307251.jpg
205,Animal,0.5895403623580933,https://storage.googleapis.com/object_images/footage_3/00000205_Animal_0.5895403623580933.jpg
206,Person,0.7386671900749207,https://storage.googleapis.com/object_images/footage_3/00000206_Person_0.7386671900749207.jpg
206,Animal,0.5754902958869934,https://storage.googleapis.com/object_images/footage_3/00000206_Animal_0.5754902958869934.jpg
207,Person,0.755865216255188,https://storage.googleapis.com/object_images/footage_3/00000207_Person_0.755865216255188.jpg
207,Animal,0.6466325521469116,https://storage.googleapis.com/object_images/footage_3/00000207_Animal_0.6466325521469116.jpg
208,Animal,0.597269594669342,https://storage.googleapis.com/object_images/footage_3/00000208_Animal_0.597269594669342.jpg
208,Person,0.5829356908798218,https://storage.googleapis.com/object_images/footage_3/00000208_Person_0.5829356908798218.jpg
209,Person,0.6551229357719421,https://storage.googleapis.com/object_images/footage_3/00000209_Person_0.6551229357719421.jpg
209,Animal,0.6017036437988281,https://storage.googleapis.com/object_images/footage_3/00000209_Animal_0.6017036437988281.jpg
210,Person,0.6197669506072998,https://storage.googleapis.com/object_images/footage_3/00000210_Person_0.6197669506072998.jpg
210,Animal,0.6188045740127563,https://storage.googleapis.com/object_images/footage_3/00000210_Animal_0.6188045740127563.jpg
211,Person,0.6828586459159851,https://storage.googleapis.com/object_images/footage_3/00000211_Person_0.6828586459159851.jpg
211,Animal,0.6047619581222534,https://storage.googleapis.com/object_images/footage_3/00000211_Animal_0.6047619581222534.jpg
212,Animal,0.6398348808288574,https://storage.googleapis.com/object_images/footage_3/00000212_Animal_0.6398348808288574.jpg
212,Person,0.602588415145874,https://storage.googleapis.com/object_images/footage_3/00000212_Person_0.602588415145874.jpg
212,Animal,0.5803405046463013,https://storage.googleapis.com/object_images/footage_3/00000212_Animal_0.5803405046463013.jpg
213,Animal,0.5607948303222656,https://storage.googleapis.com/object_images/footage_3/00000213_Animal_0.5607948303222656.jpg
215,Animal,0.6460474133491516,https://storage.googleapis.com/object_images/footage_3/00000215_Animal_0.6460474133491516.jpg
216,Animal,0.6374619603157043,https://storage.googleapis.com/object_images/footage_3/00000216_Animal_0.6374619603157043.jpg
217,Animal,0.6571291089057922,https://storage.googleapis.com/object_images/footage_3/00000217_Animal_0.6571291089057922.jpg
